comments,hate,label,predicted,correct,error_type
손담비는 기안급 치트키다,none,0,1,False,짧은 댓글
구하라 벌금 200만원전남친 징역 6개월에 집행유예 2년 성폭력예방교육이수 40시간~~~끝,none,0,1,False,문맥 의존적 표현
김흥국 불쌍하다 진짜 뭔가 계속 터지는게 일부러 누가 그러는듯,none,0,1,False,문맥 의존적 표현
당연히 사과하는게 맞지. 공개적으로 팔로우사실 공개해서 전국구로 망신준게 분명 무슨 의도가 있다고밖에볼수없음.. 게다가 장성규 유부남이잖아? 이게 대놓고 작정하고 욕먹이려고 한게 아님 뭐임?,none,0,1,False,문맥 의존적 표현
참 을마나 지났다고 겨 나오냐? 제발 자중좀 해라,none,0,1,False,완곡한 비판 표현
최진혁 연기 쩌네. 오늘 연기 지렸다,none,0,1,False,속어/신조어 혼동
작품마다 헤어스타에 따라 얼굴이 다 다르다희한하고 요상하다 이남자다,none,0,1,False,외모 관련 표현
무도에 네 자리는 없다 넘보지마라,none,0,1,False,문맥 의존적 표현
양복ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 정준호 답닼ㅋㅋㅋㅋㅋㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
돈많으면 쓰던거 버리고 새것 사야지.. 잘했어 용대야..,none,0,1,False,문맥 의존적 표현
디패 추가공식입장내길바란다 저렇게 무성의하게 조작됐고 아는바없다만 올리지말고..내부든 외부든 누가조작했는지 밝혀내겠다 혼선드려 죄송하다 두사람에게 사과한다 등 내야하는거 아닌가,none,0,1,False,완곡한 비판 표현
언제까지 우려 먹을꺼지? 1박2일때도 그렇고 뭔 강호동하고 이만기만 만났다 하면 콩트 찍는것도 아니고...나참,none,0,1,False,문맥 의존적 표현
파크랜드 광고찍냐 정장오지네,none,0,1,False,짧은 댓글
근데 김지석은 나올 짬밥이 아닌데,none,0,1,False,문맥 의존적 표현
슈퍼비는 이제 그만나올때도 되지않았누?,none,0,1,False,완곡한 비판 표현
"연예인 같지도 않은 애들한테 왜 이렇게 휩쓸려 이용이나 당하는지, 당하는 여자애들도 정신 차리길 바란다. 제발~~",none,0,1,False,문맥 의존적 표현
내가 전소민처럼 머리 자르면 진짜 여즉도로 가야것지?,none,0,1,False,문맥 의존적 표현
기사제목만 봐도 노잼냄세나네ㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
근데 이건 솔직히 불법영업인지 모를수도 있을것같은데..그냥 유흥업소인건 알앗을거고...,none,0,1,False,문맥 의존적 표현
요즘 화보나 광고사진보면 전부 한쪽눈 가린거 볼수 있다 일루미나티 전시안 코카콜라 김연아 버스정류장 광고도 랑콤 광고도,none,0,1,False,문맥 의존적 표현
아직 잘 몰겠음 무슨 속사정이있을듯 넘 맘이아파야 여자하나 잘못만나 그나이에 어째여,none,0,1,False,문맥 의존적 표현
ㅋㅋㅋㅋㅋ 티비조선 천사네 ㅋㅋ 50퍼센트 가져가도 되는데 25퍼센트면 혜자지,none,0,1,False,속어/신조어 혼동
민폐남주 내가 어떻게 행동해도 만월이 도울꺼니 괜찮아라니.. 그리고 까칠한 사장 직원관계에서 뭔 갑자기 커플이야,none,0,1,False,문맥 의존적 표현
하차 좀 기사도 안나게 좀 너가 가족에게 관심 가지지 말라며 기자랑 방송은 뭐냐,none,0,1,False,완곡한 비판 표현
참 앵간히 관리 했구나..저러고 싶을까,none,0,1,False,문맥 의존적 표현
짝짖기 프로 광고질 그만해라,none,0,1,False,짧은 댓글
