comments,hate,label,predicted,correct,error_type
내친구도 어제헤어졋는데 기사좀올려주세요,offensive,1,0,False,완곡한 비판 표현
와우! 진짜 젖가슴이 크다!!!! 가슴이 찢어지면 안돼~ 돼~ 돼~~헉,hate,1,0,False,외모 관련 표현
"사진보니 백종원, 소유진 아버지라고 해도 믿을듯",offensive,1,0,False,문맥 의존적 표현
한혜진하차가정답일듯 개인감정을앞세워방송하면안되죠,offensive,1,0,False,완곡한 비판 표현
임신하는 과정은 왜 안찍나요??,offensive,1,0,False,문맥 의존적 표현
죄송한말씀이지만 촌스럽네요,offensive,1,0,False,짧은 댓글
일반인이 아까운건 첨이네,offensive,1,0,False,짧은 댓글
그래서 군대는 언제 입대하나요,offensive,1,0,False,문맥 의존적 표현
듣보인데 왜 기사를?,offensive,1,0,False,짧은 댓글
하시시박 참 수수하고 매력적이에요. 성형으로 다 똑같은 얼굴들만 보다가 너무 신선하고 예뻐요,offensive,1,0,False,외모 관련 표현
어제 이분 너무 잼없던데~~ㅠ,offensive,1,0,False,문맥 의존적 표현
기안 없으니깐 개꿀잼 ㅋㅋㅋㅋㅋㅋ,offensive,1,0,False,속어/신조어 혼동
울것두 많다??,offensive,1,0,False,짧은 댓글
요뇬 요거 요거 우리집으로 오너라,hate,1,0,False,문맥 의존적 표현
정말 예뻐진건 사실이네요. 여신 여주인공 다 가능한 미모로 다시 태어났네요. OOO스럽지도 않고 정말 성공한 성형인데 더이상은 손대지 말고 잘 유지 하셨으면 좋겠어요,offensive,1,0,False,외모 관련 표현
전참시도 하차하세요 악플이아니라 이영자씨한테 그게 좋을겁니다,offensive,1,0,False,완곡한 비판 표현
이모랑 조카 아닌가,offensive,1,0,False,짧은 댓글
간통죄 폐지다 고로 법적으로 홍상수랑 김민희 사귀는건 아무런 결격사유가 없다...한번 사는인생 사랑하는 사람이랑 사겨야지 자식있다고 의무감으로 부인이랑 살 필요없다고 본다...난 홍상수 이해한다,offensive,1,0,False,외모 관련 표현
언니는 이혼하고 동생은 잘 사네 이쁘게 ㅎㅎ,offensive,1,0,False,문맥 의존적 표현
예능에서 자주 나오는 웃길려고하는거지만 상당히 정확한 전기오는 거짓말탐지기 유재석이 한거보면 집에서 확실히 힘들긴한거같더라 ㅋㅋ 느낌상 유재석이 정확한데 나경은은 더 정확하니 평소에 집에서 답답한일 많을거같다 ㅋㅋ,offensive,1,0,False,속어/신조어 혼동
팩트: 여기서 글쓰고있는 사람들보다 육지담이 훨씬 잘나감ㅋ,offensive,1,0,False,문맥 의존적 표현
저렇게 좋은집에 살면뭐하냐? 혼자... 결혼해서 애기도 낳고 그랬음 좋겠네 사람이 너무 잘나도 힘들듯,offensive,1,0,False,외모 관련 표현
별세를 했군여 ㅋㅋ,hate,1,0,False,짧은 댓글
이미 개싸움인데 솔직히 구하라가 만든 상황일수도 있다,offensive,1,0,False,문맥 의존적 표현
이런 기사에 단독을ㅉㅉ,offensive,1,0,False,짧은 댓글
아들 꼭낳으셔서 가문을 이어나가시길,offensive,1,0,False,문맥 의존적 표현
작곡과 들어갈 정도만 배우고 지금은 그거보다도 못 치는 같던데요..;,offensive,1,0,False,문맥 의존적 표현
와 율희랑 하다니 부럽,hate,1,0,False,짧은 댓글
전현무 부럽네; 3번은 연달아 할수도 있겠다,offensive,1,0,False,문맥 의존적 표현
아니 남이 얼굴에 뭘 하든 말든 대체 뭔 상관임 ㅋㅋㅋ 하라 씨 늘 응원해요,offensive,1,0,False,속어/신조어 혼동
송윤형 남자가 너무 하네ㅋㅋㅋㅋㅋ 데이지만 새됐어ㅠㅠㅠㅠㅠ 펜타곤 이던이 남자네ㅋㅋ,offensive,1,0,False,속어/신조어 혼동
예쁘면 잘생긴 남자 만날 자격있지 암 ㅎㅎ,offensive,1,0,False,문맥 의존적 표현
관종인건 확실함...,hate,1,0,False,짧은 댓글
진짜 욕심많아 보이게 생겼다..,offensive,1,0,False,문맥 의존적 표현
피해자 사촌형은 연예인친구 많아서 좋겠네...,offensive,1,0,False,문맥 의존적 표현
근데 울산은....경상도 아닌가요? 저는 서울사람인데 경상도가 티비에 나와도 되는 동네인지 의문이네요. 경상도 사투리 자체가 아이들 정서상에 좋지 않거든요. 앞으로 주의해주셨으면 좋겠습니다.,hate,1,0,False,문맥 의존적 표현
박민영 너무 삭았네,offensive,1,0,False,짧은 댓글
이 아줌마 너무 많이 나와서 몰입 안됨,offensive,1,0,False,문맥 의존적 표현
역시 인지도는 악플에 비례하구나..,offensive,1,0,False,문맥 의존적 표현
지현우 범죄 저지르지 않았나요?,offensive,1,0,False,문맥 의존적 표현
서현진 이민기 둘다 연기가 식상함,offensive,1,0,False,문맥 의존적 표현
송중기만 생각남~~,offensive,1,0,False,짧은 댓글
왜 이제야 나오셨어요? 보는 내내 불편함에 언제 끝나나 기다리며 봤네. 루머처럼 쇼윈도우 부부의 전형적인 모습에 피디의 능력을 의심까지하게...조기하차 희망합니다!,offensive,1,0,False,완곡한 비판 표현
YG올해 아이콘 빅뱅 위너 블핑 대박나니까 블핑 빌보드뜨는날 몰아서 ㅈㄹ들이네..그래도 잘나가~~~,offensive,1,0,False,문맥 의존적 표현
2부 잠깐 보다가 손에서 칼 잡는거 보고 바로 돌렸다 현빈 도대체 왜 이리 작품보는 눈이 없냐? 시크릿가든 이후로 마음에 드는 작품이 하나도 없다 하기야 시가도 장혁 대타였는데 그거 못했으면 현빈은 지금 B급이었을듯,hate,1,0,False,문맥 의존적 표현
한혜연좀 안나왔으면 좋겠다,hate,1,0,False,짧은 댓글
악플 단 사람도 나쁘지만. 좋다고 사랑스럽다고 하는 사람이 그렇게 많은데 그 몇몇 악플러들에게 꽂혀서 상처 받을 건 뭐람. 참.... 하긴. 연예인이 아니니 그런 공격 더 힘들었겠지만.,offensive,1,0,False,문맥 의존적 표현
실종이야? 15일만에 만났는데? ㅎㅎㅎㅎ,offensive,1,0,False,문맥 의존적 표현
아시블 개시블,offensive,1,0,False,짧은 댓글
정말 궁금한게 이친구가 뭐라고 오늘 하루 종일 실검 1위에 올려 놓으신건가요?? 국회 유치원 보류때문인가요? 김태우 사건으로 청와대 오더인가요??,offensive,1,0,False,문맥 의존적 표현
댓글알바 작작쓰렴,offensive,1,0,False,짧은 댓글
여기서도 쿵쾅 저기서도 쿵광.....,hate,1,0,False,문맥 의존적 표현
최종범이 죽인것도 아닌데 왜 이리 난리야? 서로 좋아해서 사겼으면 문제도 서로 해결해야지. 하여튼 다들 오지랖은.,offensive,1,0,False,문맥 의존적 표현
많이 고쳤네ㅠ 싼티가 많이 났었는데 고친게 낫긴하군,hate,1,0,False,문맥 의존적 표현
갈수록 더하네,offensive,1,0,False,짧은 댓글
얘는 넘 젠틀하고 아내한테 잘하고 돈 잘버는 자상한 이미지의 오상진이랑 결혼해서 그런가 ㅋㅋㅋㅋ 얘도 이쁘고 똑똑하고 야무진데 줌마들한테 진짜 욕먹네 ㅠㅠ 안쓰럽다 댓글 안봤으면... 다 열등감임 ㅠㅠ,offensive,1,0,False,속어/신조어 혼동
응원합니다 물론잘못도 했고 실망도했지만 더나쁜사람들이 더잘살고 있어요대기업자손들 군대 안가고 국회의원자식들도 안가고 하는데 그런사람들은 너무나도 잘살고 있는데 무조건 욕하는건 아닌거 같아요 응원합니다.,offensive,1,0,False,외모 관련 표현
저와중에 lck에 갔으니...ㅉㅉ,offensive,1,0,False,문맥 의존적 표현
