comments,hate,label,bert_pred,bert_correct,lora_pred,lora_correct
하나뿐인 정상 고래엄마,none,0,1,False,0,True
입대하고 배우 바꿨으면 좋겠다~ 이종석 연기 너무 못하고 이나영이랑 안 어울려. 박보검 추천!,none,0,1,False,0,True
어쨌든 안재현이 불쌍할건없음 구혜선저렇게만든건 안재현이야,offensive,1,0,False,1,True
할짓없으면 댓글쓰질말아야지,offensive,1,0,False,1,True
일본인인데 한국와서 돈 벌어서 결혼도 하고 돈도 벌고,offensive,1,0,False,1,True
할머니 연기자 TV에 자주 보이는 얼굴이라... 뉴페이스 였더라면 달랐을 것,offensive,1,0,False,1,True
네티즌들이 마녀사냥해서 사람한명 죽였지...불쌍한 민기형,offensive,1,0,False,1,True
뭘 남견는데....??? 매 작품 마다 연기 똑같은 한지혜 이상우 출연료 입금 영수증....ㅋ,offensive,1,0,False,1,True
전 그냥 조보아 땜에 봐요...,none,0,1,False,0,True
악플러들 너무 싫다. 도와주기 싫으면 외면하면 되지 왜 글을 쓰는 수고를 할까. 이런 행태 외면하지 못하겠다 정말.,offensive,1,0,False,1,True
유시민 밖에 없다 다음 대선에...,none,0,1,False,0,True
얼굴 돼지상 일땐 비호감 이었는데계속 유지 바랍니다^^,hate,1,0,False,1,True
왜 나온거임? 보다 채널 돌림~,offensive,1,0,False,1,True
돈내고 먹는 소비자랍시고 그음식에대해서 비난 비평할 권리까지 산건아닙니다 제발 착각좀하지마세요,offensive,1,0,False,1,True
광수 티아라 화영효영 다 똑같....아름 다니 둘만 피해자였지,offensive,1,0,False,1,True
축복한다 그러니까 빠져라 재미도 없고 이제 그만 나와라,offensive,1,0,False,1,True
그니까 선예가 책임감 없이 이기적인 행동을 했다는거지. 그때 기사들 잘 찾아봐ㅋ 자기필요할땐 컴백준비하네 했다가 비난있으니 들어간건지는 몰라도 팀이 본인때메 해체할상황이면 아름답게 나왔어야지,offensive,1,0,False,1,True
충재 고정하자 충재 보여주다가 기안이 보여주지마,offensive,1,0,False,1,True
그래도 시랭이 와꾸면 편하게 살수도 있었을텐데 불쌍하다,offensive,1,0,False,1,True
적당히좀 해라.,offensive,1,0,False,1,True
Edm 천재 박명.수,none,0,1,False,0,True
역시너는내운명 우효광 추자현부부 결혼축하고하고 두분예쁜만큼 잘사세용 참고로 소이현부부제발 안나왓으면좋겟다 닭살,none,0,1,False,0,True
몸매는 섹시,offensive,1,0,False,1,True
세상에 옷이 얼만아 많은데 꼭 그런 옷을 입어 세상 시끄럽게 하는지 모르겠네.,offensive,1,0,False,1,True
사진 바꿔서 기사 올려도 이모예요... 안쓰럽ㅋㅋㅋ,offensive,1,0,False,1,True
이 마음이 오래가야 할낀데...결혼이 문제가 아니다.,none,0,1,False,0,True
"얼굴을 갈아 엎든 입술에 뭘 넣든 무슨 상관들인지..그리고 자기가 진짜 안했든 밝히기 싫어서 그런거든 욕할것들은 아니지. 남한테 피해 안주고 자기돈, 시간 들여 했음 오지랖 떨지말고 이러쿵 저러쿵 하지마라.",offensive,1,0,False,1,True
육두문자 나오더라,none,0,1,False,0,True
근데 이색히 남자냐??? 소름돋네...,offensive,1,0,False,1,True
"전진 씨, 붐 씨에게 사과하세요. 댁이 붐 사칭하며 나이트클럽에서 놀고 싸인해주며 원나잇 즐긴 것을 붐 씨가 고스란히 다 피해를 봐서 공황장애까지 올 정도로 힘들어 했거든요. 사람이라면 붐 씨에게 무릎꿇고 머리 조아리며 사죄하세요.",offensive,1,0,False,1,True
은근 연예인병ㅎ,offensive,1,0,False,1,True
왜케 악플인지. 직업직업하는데 님들이 보태준거있수? ㅎㅎ,offensive,1,0,False,1,True
그럼 시즌3 4는 멤버전원 다 정해놓고 했다는건데 데뷔한애들 다 문제있는거 아님??ㅋ,offensive,1,0,False,1,True
다거르고 빅뱅노래는 ㅈㄴ잘냄 노래나 내라,offensive,1,0,False,1,True
백프로 김성주 오더받으면서 몰카한부분이겠지만 조보아씨는 이미 그동안 표정으로 다 말해줘서 ㅎㅎㅎ,none,0,1,False,0,True
골목식당 폐지해라,offensive,1,0,False,1,True
유치해요 ㅠㅠ,none,0,1,False,0,True
많이 고친녀 ㄴ,hate,1,0,False,1,True
보통 약하면 나오는 증상아닌가? 그게아니면 다이어트약이라도 먹나..?,offensive,1,0,False,1,True
조용히 결혼하셔도 될듯한데 너무 요란하게 하시는것 같네요,none,0,1,False,0,True
누구임? 아는사람~,offensive,1,0,False,1,True
누구지~~^^이제는 나올사람이 없나보다.,offensive,1,0,False,1,True
시대를 잘못타고 났을뿐이다 보민한국 시대는 다음정권에서 끝난다 그때 당당히 복귀 하면된다 김생민 화이팅!!!,hate,1,0,False,1,True
쌈디 결혼한 걸로 아는데~왜 나혼자산다?집도 아내있어서 공개 못하고친구집?,offensive,1,0,False,1,True
헐..저할머니 드라마에서 마니 봤는데 결국 돌아가셨구나ㅜㅜㅜ삼가고 인의 명 복을빕니 다,none,0,1,False,0,True
이프로를 왜하는지..뭘보여주고싶은지...그정도 카페로 도대체 일하는사람이 몇명인지..현실에선 상상하기 힘든일!!진짜로 삶의 터전인 사람에게 실례가 되지않은지...,offensive,1,0,False,1,True
"비호감인데,,,,나대니까 병에걸리지아무튼 관리잘하시길",hate,1,0,False,1,True
그냥 하차하면 될것을.. 그간 한통속으로 시청자 우롱한 연기자들께서 자기네는 잘못 하나도 없다는 식으로 한쪽에 책임 다 떠넘기고 다른 출연자들에게도 소금뿌리는 짓 아닌가.. 제작진만 이기적인 게 아니라 이들 부부도 이기적인듯.,offensive,1,0,False,1,True
하차반대? 어이가 없네 ㅋㅋㅋㅋ 이런 기사가 나올줄은 상상도 못했다,offensive,1,0,False,1,True
그래도 뚱뚱한거보단 차라리 마른게 낫지.. 오늘도 다이어트 빠샷!,offensive,1,0,False,1,True
이혼해서 전부인이 키우는 지딸도 팔아먹은 인간인데 딸이라고 안속였을까 분명 신도들한테 믿음 사기위해 예은도 속이고 설명회 참석 시킨거겟지 예은은 다른이유로 알고 간거고,offensive,1,0,False,1,True
보기싫으면 안보면 되는거지 굳이 보고와서 몰입이 안된다느니 뭐니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그렇게 싫으면 자기가 작가하든가,hate,1,0,False,1,True
뽕..뽕..뽕 뽕맞은 것처럼~~~,offensive,1,0,False,1,True
한채아가 예뻐긴 예쁜갑네 질투한는 애들만네ㅋ,offensive,1,0,False,1,True
에휴..백종원 식상한다. 이제 그만 나왔으면,offensive,1,0,False,1,True
누가 그랬다. 한국 사람들에게 마음의 문을 열고 진심을 다해 대하면 그 한국 사람은 사기칠 생각부터 한다고...,offensive,1,0,False,1,True
