comments,title,hate,label
야는 슴이 약한게 흠.,"""""""♥전현무와 함께"""" 한혜진 심야 수영장 데이트 '아찔'""",offensive,1
"...못된 넘들...남의 고통을 즐겼던 넘들..이젠 마땅한 처벌을 받아야지..,그래야, 공정한 사회지...심은대로 거두거라...","""[단독] 잔나비, 라디오 출연 취소→'한밤' 방송 연기..비판 여론 ing(종합)""",hate,1
자숙 끝났나요,"""한채아, 딸과 카페 나들이..남편 차세찌 논란 후 밝아진 근황""",none,0
이 와중에 싫어요 누르는건 무슨 심보인지,"""오윤아 “아들, 발달장애…죄스러운 마음으로 살고 있다” [인터뷰]""",none,0
진짜 악플 머냐? 그것도 어린아이 한테...악플쓰고 죄책감 안드는가? 가정교육이란걸 못받아서 그런가?아니면 그 부모의 그 자식?,"""엄태웅♥윤혜진 딸 엄지온, 벌써 초등학생 """"징그럽게 커버렸네"""" [★해시태그]""",offensive,1
아이의 존재는 그냥 사라지는 거야? 아예 자식한테 애착이 없었구만... 씁쓸하다,"""‘아는와이프’ 지성, ♥한지민 행복 빌기로→강한나 분노 폭발""",offensive,1
자꾸 말아먹는데 왜 나오지;;쟤들 키울 돈으로 나같음 신인그룹 만들겟노 이기야,"""“소녀시대 포에버”…티파니X서현, 잊지않고 챙긴 Oh!GG [종합]""",hate,1
역시 yg 대단해 j y p 대단하고 이런 아이돌 제조기 이야 yg jyp 역시 짱 짱 입니다,"""'K팝스타' 예림, 20㎏ 감량 후 '열두달' 데뷔 """"양현석 대표님, 데뷔했어요""""""",hate,1
이게 빠진 몸매여?,"""[HI★뭐하세요?] 이국주, 다이어트 후 근황…한결 날씬해진 몸매 라인""",offensive,1
딱 장사꾼처럼 생겨먹었네 백정답게 ㅋㅋ,[SS리뷰] '골목식당' 신흥시장 변화 이끈 백종원의 '진심',hate,1
가만히있어도 dm오는 여자라는 성별과. 연예인임에도 dm보내야 여자만날수있는 성별인 남자.. 명확한 권력관계지. 여자는 편하고 남자만 고생하고. 여성우월주의국가,"""이종현, 자숙 중 부적절한 DM→씨엔블루 탈퇴 """"부끄럽고 면목없다"""" [종합]""",hate,1
